Character,Lv,Rarity,Element,Weapon,Main role,Ascension,Base HP,Base ATK,Base DEF
Amber,1,4,Pyro,Bow,Sub DPS,ATK,793,19,50
Amber,20,4,Pyro,Bow,Sub DPS,ATK,2038,48,129
Amber,20,4,Pyro,Bow,Sub DPS,ATK,2630,62,167
Amber,40,4,Pyro,Bow,Sub DPS,ATK,3940,93,250
Amber,40,4,Pyro,Bow,Sub DPS,ATK,4361,103,277
Amber,50,4,Pyro,Bow,Sub DPS,ATK,5016,118,318
Amber,50,4,Pyro,Bow,Sub DPS,ATK,5578,131,354
Amber,60,4,Pyro,Bow,Sub DPS,ATK,6233,147,396
Amber,60,4,Pyro,Bow,Sub DPS,ATK,6654,157,422
Amber,70,4,Pyro,Bow,Sub DPS,ATK,7309,172,464
Amber,70,4,Pyro,Bow,Sub DPS,ATK,7730,182,491
Amber,80,4,Pyro,Bow,Sub DPS,ATK,8385,198,532
Amber,80,4,Pyro,Bow,Sub DPS,ATK,8806,208,559
Amber,90,4,Pyro,Bow,Sub DPS,ATK,9461,223,601
Barbara,1,4,Hydro,Catalyst,Healer,HP,821,13,56
Barbara,20,4,Hydro,Catalyst,Healer,HP,2108,34,144
Barbara,20,4,Hydro,Catalyst,Healer,HP,2721,44,186
Barbara,40,4,Hydro,Catalyst,Healer,HP,4076,66,279
Barbara,40,4,Hydro,Catalyst,Healer,HP,4512,73,308
Barbara,50,4,Hydro,Catalyst,Healer,HP,5189,84,355
Barbara,50,4,Hydro,Catalyst,Healer,HP,5770,94,394
Barbara,60,4,Hydro,Catalyst,Healer,HP,6448,105,441
Barbara,60,4,Hydro,Catalyst,Healer,HP,6884,112,470
Barbara,70,4,Hydro,Catalyst,Healer,HP,7561,123,517
Barbara,70,4,Hydro,Catalyst,Healer,HP,7996,130,546
Barbara,80,4,Hydro,Catalyst,Healer,HP,8674,141,593
Barbara,80,4,Hydro,Catalyst,Healer,HP,9110,148,623
Barbara,90,4,Hydro,Catalyst,Healer,HP,9787,159,669
Beidou,1,4,Electro,Claymore,Sub DPS,Electro DMG,1094,19,54
Beidou,20,4,Electro,Claymore,Sub DPS,Electro DMG,2811,48,140
Beidou,20,4,Electro,Claymore,Sub DPS,Electro DMG,3628,63,180
Beidou,40,4,Electro,Claymore,Sub DPS,Electro DMG,5435,94,270
Beidou,40,4,Electro,Claymore,Sub DPS,Electro DMG,6015,104,299
Beidou,50,4,Electro,Claymore,Sub DPS,Electro DMG,6919,119,344
Beidou,50,4,Electro,Claymore,Sub DPS,Electro DMG,7694,133,382
Beidou,60,4,Electro,Claymore,Sub DPS,Electro DMG,8597,148,427
Beidou,60,4,Electro,Claymore,Sub DPS,Electro DMG,9178,158,456
Beidou,70,4,Electro,Claymore,Sub DPS,Electro DMG,10081,174,501
Beidou,70,4,Electro,Claymore,Sub DPS,Electro DMG,10662,184,530
Beidou,80,4,Electro,Claymore,Sub DPS,Electro DMG,11565,200,575
Beidou,80,4,Electro,Claymore,Sub DPS,Electro DMG,12146,210,603
Beidou,90,4,Electro,Claymore,Sub DPS,Electro DMG,13050,225,648
Bennett,1,4,Pyro,Sword,Healer,Energy Recharge,1039,16,65
Bennett,20,4,Pyro,Sword,Healer,Energy Recharge,2670,41,166
Bennett,20,4,Pyro,Sword,Healer,Energy Recharge,3447,53,214
Bennett,40,4,Pyro,Sword,Healer,Energy Recharge,5163,80,321
Bennett,40,4,Pyro,Sword,Healer,Energy Recharge,5715,88,356
Bennett,50,4,Pyro,Sword,Healer,Energy Recharge,6573,101,409
Bennett,50,4,Pyro,Sword,Healer,Energy Recharge,7309,113,455
Bennett,60,4,Pyro,Sword,Healer,Energy Recharge,8168,126,508
Bennett,60,4,Pyro,Sword,Healer,Energy Recharge,8719,134,542
Bennett,70,4,Pyro,Sword,Healer,Energy Recharge,9577,148,596
Bennett,70,4,Pyro,Sword,Healer,Energy Recharge,10129,156,630
Bennett,80,4,Pyro,Sword,Healer,Energy Recharge,10987,169,684
Bennett,80,4,Pyro,Sword,Healer,Energy Recharge,11539,178,718
Bennett,90,4,Pyro,Sword,Healer,Energy Recharge,12397,191,771
Chongyun,1,4,Cryo,Claymore,Sub DPS,ATK,921,19,54
Chongyun,20,4,Cryo,Claymore,Sub DPS,ATK,2366,48,140
Chongyun,20,4,Cryo,Claymore,Sub DPS,ATK,3054,62,180
Chongyun,40,4,Cryo,Claymore,Sub DPS,ATK,4574,93,270
Chongyun,40,4,Cryo,Claymore,Sub DPS,ATK,5063,103,299
Chongyun,50,4,Cryo,Claymore,Sub DPS,ATK,5824,118,344
Chongyun,50,4,Cryo,Claymore,Sub DPS,ATK,6475,131,382
Chongyun,60,4,Cryo,Claymore,Sub DPS,ATK,7236,147,427
Chongyun,60,4,Cryo,Claymore,Sub DPS,ATK,7725,157,456
Chongyun,70,4,Cryo,Claymore,Sub DPS,ATK,8485,172,501
Chongyun,70,4,Cryo,Claymore,Sub DPS,ATK,8974,182,530
Chongyun,80,4,Cryo,Claymore,Sub DPS,ATK,9734,198,575
Chongyun,80,4,Cryo,Claymore,Sub DPS,ATK,10223,208,603
Chongyun,90,4,Cryo,Claymore,Sub DPS,ATK,10984,223,648
Diluc,1,5,Pyro,Claymore,DPS,CRIT Rate,1011,26,61
Diluc,20,5,Pyro,Claymore,DPS,CRIT Rate,2621,68,158
Diluc,20,5,Pyro,Claymore,DPS,CRIT Rate,3488,90,211
Diluc,40,5,Pyro,Claymore,DPS,CRIT Rate,5219,135,315
Diluc,40,5,Pyro,Claymore,DPS,CRIT Rate,5834,151,352
Diluc,50,5,Pyro,Claymore,DPS,CRIT Rate,6712,173,405
Diluc,50,5,Pyro,Claymore,DPS,CRIT Rate,7533,194,455
Diluc,60,5,Pyro,Claymore,DPS,CRIT Rate,8421,217,509
Diluc,60,5,Pyro,Claymore,DPS,CRIT Rate,9036,233,546
Diluc,70,5,Pyro,Claymore,DPS,CRIT Rate,9932,256,600
Diluc,70,5,Pyro,Claymore,DPS,CRIT Rate,10547,272,637
Diluc,80,5,Pyro,Claymore,DPS,CRIT Rate,11453,295,692
Diluc,80,5,Pyro,Claymore,DPS,CRIT Rate,12068,311,729
Diluc,90,5,Pyro,Claymore,DPS,CRIT Rate,12981,335,784
Fischl,1,4,Electro,Bow,Sub DPS,ATK,770,20,50
Fischl,20,4,Electro,Bow,Sub DPS,ATK,1979,53,128
Fischl,20,4,Electro,Bow,Sub DPS,ATK,2555,68,165
