Dog_Name,Breed
IVY,RETRIEVER LABRADOR
NINA,HAVANESE MIX
OMAR,LABRADOODLE
LEXI,NORWEGIAN ELKHOUND
BUFER,RHODESIAN RIDGEBACK
CHEE-CHEE,RHODESIAN RIDGEBACK
SUMMER,RETRIEVER GOLDEN
MILEY,TERRIER JACK RUSSELL
JAX,MIX
PENNY,HOUND MIX
COCOA,LABRADOODLE
PENNY,LABRADOODLE
CHLOE,RETRIEVER LABRADOR
PHOENIX,RETRIEVER GOLDEN
BRADY,TERRIER WHEATEN
BABY,SPANIEL CAVALIER  KING CHARLES
CHARLIE,RETRIEVER GOLDEN
YASMIN,SHEEPDOG SHETLAND
ROCKWELL,RETRIEVER LABRADOR
VELVET,DACHSHUND BEAGLE MIX
ROCKY,DACHSHUND BORDER COLLIE MIX
KING,BOXER
MUSHU,MIX
GRACE,LABRADOODLE
BAILEY,LABRADOODLE
SCARLETT,TERRIER MIX
TANGO,LAB RETRIEVER MIX
MIA,DACHSHUND
MILO,BICHON FRISE
BENTLY,TERRIER MIX
CORKY,MALTIPOO
STELLA,RETRIEVER GOLDEN
TOFU,TERRIER JACK RUSSELL MIX
SUNSHINE,SETTER ENGLISH LAB
MASON,SPANIEL BOYKIN MIX
RUBY,RETRIEVER LABRADOR
ODIE,GOLDENDOODLE
MOLLY,COLLIE BORDER MIX
STORMY,LABRADOR MIX
CHOPPER,MALTIPOO MIX
CHANCE,MIX
OSCAR,HOUND SHEP MIX
IRIS,RETRIEVER GOLDEN MIX
SPUTNIK,SHEPHERD AUSTRAILIAN
BRUNO,PUG
COLLETTE,POODLE MINI
JAX,SHELTIE MIX
HERSHEY,COCKAPOO
LEO,TERRIER BORDER
CHEETO,LABRADOODLE
SAMMI,GOLDENDOODLE
DAISY,RETRIEVER MIX
RUSTY,MIX
ROMAN,POMERANIAN
DYLAN,LABRADOR
BOOMER,TERRIER JACK RUSSELL
JOEY,GOLDENDOODLE
PEANUT,PUGGLE
GUNTHER,SHEPHERD MIX
TINKER,COLLIE BORDER
ELLIE,BEAGLE MIX
ANNIE,POODLE MINI MIX
HONEY,RETRIEVER GOLDEN
YOGI,CAVACHON
SAHARA,COCKAPOO
HUDSON,SPANIEL ENGLISH SPRINGER
MADDIE,RETRIEVER GOLDEN
SCARLET,SHEPHERD GERMAN
KODA,SHEPHERD GERMAN
COCO,POODLE MINI
KALA,TERRIER MIX
LULU,LABRADOR MIX
ALFIE,RETRIEVER GOLDEN
TESS,RETRIEVER
HUDSON,SPANIEL
GRACE,GREYHOUND
MARLO,MIX
WILSON,RETRIEVER GOLDEN
SOPHIE,WELSH CORGI PEMBROKE
RILEY,WELSH CORGI PEMBROKE
MARLEY,RETRIEVER LABRADOR
CHARLIE,RETRIEVER LABRADOR
MIKEY,CHIHUAHUA MIX
BEANS,BICHON FRISE
COOPER,GOLDENDOODLE
CHAI,SPANIEL COCKER MIX
THEO,MIX
BRINLEY,TERRIER NORWICH
PIPPIN,TERRIER NORWICH
THEIA,MIX
LULAH,MIX
SYDNEY,MALTESE
RICO,COLLIE MIX
REILLY,MALTESE
FINNEGAN,RETRIEVER GOLDEN
FRODO,POODLE MIX
TOBY,GOLDENDOODLE
RAY C,BOXER
DASHIELL,TERRIER RAT MIX
ALOHA,RETRIEVER GOLDEN
LUCKY,PORTUGUESE WATER DOG
MASON,HUSKY SIBERIAN
LOLA,RETRIEVER GOLDEN
CHESTER,TERRIER WEST HIGHLAND MIX
SUKI,PEKINGESE MIX
C.J.,MIX
HOBBES,GOLDENDOODLE
TEDDY,GOLDENDOODLE
KEIRA,SPANIEL ENGLISH COCKER
JOSEY,BEAGLE MIX
HUCK,RETRIEVER LABRADOR
MISTY,RETRIEVER LABRADOR
ELSA,MIX
RIGGINS,MIX
LUCKY,GOLDENDOODLE
NAPA,CHOW CHOW
CLARICE,GREYHOUND
BUDDY,BOXER MIX
WINNIE,COCKAPOO
