Dog_Name,Breed,Zip
IVY,RETRIEVER LABRADOR,02420
NINA,HAVANESE MIX,02420
OMAR,LABRADOODLE,02421
LEXI,NORWEGIAN ELKHOUND,02421
BUFER,RHODESIAN RIDGEBACK,02420
CHEE-CHEE,RHODESIAN RIDGEBACK,02420
SUMMER,RETRIEVER GOLDEN,02421
MILEY,TERRIER JACK RUSSELL,02420
JAX,MIX,02420
PENNY,HOUND MIX,02421
COCOA,LABRADOODLE,02421
PENNY,LABRADOODLE,02421
CHLOE,RETRIEVER LABRADOR,02421
PHOENIX,RETRIEVER GOLDEN,02420
BRADY,TERRIER WHEATEN,02421
BABY,SPANIEL CAVALIER  KING CHARLES,02421
CHARLIE,RETRIEVER GOLDEN,02421
YASMIN,SHEEPDOG SHETLAND,02420
ROCKWELL,RETRIEVER LABRADOR,02420
VELVET,DACHSHUND BEAGLE MIX,02421
ROCKY,DACHSHUND BORDER COLLIE MIX,02421
KING,BOXER,02420
MUSHU,MIX,02420
GRACE,LABRADOODLE,02421
BAILEY,LABRADOODLE,02421
SCARLETT,TERRIER MIX,02420
TANGO,LAB RETRIEVER MIX,02420
MIA,DACHSHUND,02420
MILO,BICHON FRISE,02420
BENTLY,TERRIER MIX,02420
CORKY,MALTIPOO,02420
STELLA,RETRIEVER GOLDEN,02420
TOFU,TERRIER JACK RUSSELL MIX,02421
SUNSHINE,SETTER ENGLISH LAB,02420
MASON,SPANIEL BOYKIN MIX,02420
RUBY,RETRIEVER LABRADOR,02420
ODIE,GOLDENDOODLE,02420
MOLLY,COLLIE BORDER MIX,02421
STORMY,LABRADOR MIX,02421
CHOPPER,MALTIPOO MIX,02421
CHANCE,MIX,02421
OSCAR,HOUND SHEP MIX,02420
IRIS,RETRIEVER GOLDEN MIX,02420
SPUTNIK,SHEPHERD AUSTRAILIAN,02420
BRUNO,PUG,02421
COLLETTE,POODLE MINI,02420
JAX,SHELTIE MIX,02421
HERSHEY,COCKAPOO,02420
LEO,TERRIER BORDER,02420
CHEETO,LABRADOODLE,02420
SAMMI,GOLDENDOODLE,02420
DAISY,RETRIEVER MIX,02421
RUSTY,MIX,02421
ROMAN,POMERANIAN,02420
DYLAN,LABRADOR,02421
BOOMER,TERRIER JACK RUSSELL,02420
JOEY,GOLDENDOODLE,02421
PEANUT,PUGGLE,02420
GUNTHER,SHEPHERD MIX,02420
TINKER,COLLIE BORDER,02421
ELLIE,BEAGLE MIX,02421
ANNIE,POODLE MINI MIX,02421
HONEY,RETRIEVER GOLDEN,02421
YOGI,CAVACHON,02420
SAHARA,COCKAPOO,02420
HUDSON,SPANIEL ENGLISH SPRINGER,02420
MADDIE,RETRIEVER GOLDEN,02421
SCARLET,SHEPHERD GERMAN,02420
KODA,SHEPHERD GERMAN,02421
COCO,POODLE MINI,02421
KALA,TERRIER MIX,02421
LULU,LABRADOR MIX,02421
ALFIE,RETRIEVER GOLDEN,02420
TESS,RETRIEVER,02420
HUDSON,SPANIEL,02420
GRACE,GREYHOUND,02421
MARLO,MIX,02421
WILSON,RETRIEVER GOLDEN,02420
SOPHIE,WELSH CORGI PEMBROKE,02421
RILEY,WELSH CORGI PEMBROKE,02420
MARLEY,RETRIEVER LABRADOR,02420
CHARLIE,RETRIEVER LABRADOR,02421
MIKEY,CHIHUAHUA MIX,02420
BEANS,BICHON FRISE,02420
COOPER,GOLDENDOODLE,02420
CHAI,SPANIEL COCKER MIX,02421
THEO,MIX,02421
BRINLEY,TERRIER NORWICH,02421
PIPPIN,TERRIER NORWICH,02421
THEIA,MIX,02420
LULAH,MIX,02420
SYDNEY,MALTESE,02421
RICO,COLLIE MIX,02421
REILLY,MALTESE,02421
FINNEGAN,RETRIEVER GOLDEN,02421
FRODO,POODLE MIX,02421
TOBY,GOLDENDOODLE,02420
RAY C,BOXER,02421
DASHIELL,TERRIER RAT MIX,02421
ALOHA,RETRIEVER GOLDEN,02421
LUCKY,PORTUGUESE WATER DOG,02421
MASON,HUSKY SIBERIAN,02421
LOLA,RETRIEVER GOLDEN,02421
